TIME\Elv,elv1,elv2,elv3,elv4,elv5,elv6,elv7,elv8,elv9,elv10,
0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,38,37,40,41,41,62,-29,18,39,39,
10,0,0,0,0,0,0,0,0,0,0,
11,35,12,54,59,38,59,-32,15,47,36,
12,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,215,203,216,223,207,231,185,184,216,205,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,61,49,74,77,63,79,31,30,69,62,
20,0,0,0,0,0,0,0,0,0,0,
21,-493,-120,-102,-294,-99,-99,-403,-444,-369,-110,
22,0,0,0,0,0,0,0,0,0,0,
23,-32,-89,-71,-26,-68,-8,-79,-82,-29,-79,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,336,324,349,352,338,354,306,305,344,337,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
31,-102,-51,-44,-85,-85,-25,-47,-430,-93,-47,
32,0,0,0,0,0,0,0,0,0,0,
33,82,70,73,84,74,98,52,51,83,72,
34,0,0,0,0,0,0,0,0,0,0,
35,58,46,71,74,60,76,28,27,66,59,
36,0,0,0,0,0,0,0,0,0,0,
37,0,0,0,0,0,0,0,0,0,0,
38,0,0,0,0,0,0,0,0,0,0,
39,110,98,118,123,112,128,80,79,118,111,
40,0,0,0,0,0,0,0,0,0,0,
41,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,
43,-493,-556,-102,-99,-294,-294,-403,-444,-369,-403,
44,0,0,0,0,0,0,0,0,0,0,
45,0,0,0,0,0,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,0,0,
47,-118,-558,-317,-101,-296,-101,-405,-115,-109,-405,
48,0,0,0,0,0,0,0,0,0,0,
49,0,0,0,0,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,0,
51,-64,-557,-316,-58,-295,-58,-111,-114,-61,-404,
52,0,0,0,0,0,0,0,0,0,0,
53,0,0,0,0,0,0,0,0,0,0,
54,0,0,0,0,0,0,0,0,0,0,
55,2,-20,-13,5,-12,21,-16,-68,3,-16,
56,0,0,0,0,0,0,0,0,0,0,
57,0,0,0,0,0,0,0,0,0,0,
58,0,0,0,0,0,0,0,0,0,0,
59,-118,-558,-317,-101,-296,-101,-112,-446,-109,-405,
