TIME\Elv,elv1,elv2,elv3,elv4,elv5,elv6,elv7,elv8,elv9,elv10,
0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,38,37,40,41,41,62,-29,18,39,39,
10,0,0,0,0,0,0,0,0,0,0,
11,44,21,56,63,47,68,-23,24,56,45,
12,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,187,175,195,200,179,203,157,156,188,177,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,64,41,76,83,49,83,-3,44,65,45,
20,0,0,0,0,0,0,0,0,0,0,
21,-493,-120,-102,-294,-99,-99,-403,-444,-369,-110,
22,0,0,0,0,0,0,0,0,0,0,
23,-55,-112,-94,-49,-91,-31,-102,-105,-52,-102,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,328,316,336,341,320,344,298,297,329,318,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
31,-118,-558,-317,-101,-296,-101,-112,-446,-109,-405,
32,0,0,0,0,0,0,0,0,0,0,
33,82,70,73,84,74,98,52,51,83,72,
34,0,0,0,0,0,0,0,0,0,0,
35,37,14,39,50,22,56,-30,17,38,18,
36,0,0,0,0,0,0,0,0,0,0,
37,0,0,0,0,0,0,0,0,0,0,
38,0,0,0,0,0,0,0,0,0,0,
39,124,112,137,140,132,144,94,93,136,131,
40,0,0,0,0,0,0,0,0,0,0,
41,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,
43,-60,-553,-312,-54,-96,-54,-107,-441,-57,-400,
44,0,0,0,0,0,0,0,0,0,0,
45,0,0,0,0,0,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,0,0,
47,-119,-559,-318,-102,-297,-102,-113,-447,-110,-406,
48,0,0,0,0,0,0,0,0,0,0,
49,0,0,0,0,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,0,
51,-116,-120,-102,-99,-99,-57,-403,-113,-107,-110,
52,0,0,0,0,0,0,0,0,0,0,
53,0,0,0,0,0,0,0,0,0,0,
54,0,0,0,0,0,0,0,0,0,0,
55,-22,-24,-17,-16,-16,11,-69,-72,-19,-20,
56,0,0,0,0,0,0,0,0,0,0,
57,0,0,0,0,0,0,0,0,0,0,
58,0,0,0,0,0,0,0,0,0,0,
59,-60,-553,-312,-54,-96,-54,-107,-441,-57,-400,
