TIME\Elv,elv1,elv2,elv3,elv4,elv5,elv6,elv7,elv8,elv9,elv10,
0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,-110,-114,-96,-93,-93,-51,-104,-438,-101,-104,
8,0,0,0,0,0,0,0,0,0,0,
9,-22,-2,0,-16,1,17,-69,-72,-19,0,
10,0,0,0,0,0,0,0,0,0,0,
11,40,17,24,43,25,59,-27,20,41,21,
12,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,211,199,212,219,203,227,181,180,212,201,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,97,85,98,105,89,113,67,66,98,87,
20,0,0,0,0,0,0,0,0,0,0,
21,-44,-101,-83,-38,-20,-20,-384,-425,-41,-91,
22,0,0,0,0,0,0,0,0,0,0,
23,-20,-98,-80,-17,-35,-7,-88,-91,-19,-88,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,311,299,324,327,313,329,281,280,319,312,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
31,5,-72,-54,8,-9,18,-62,-65,6,-62,
32,0,0,0,0,0,0,0,0,0,0,
33,81,80,83,84,84,105,13,61,82,82,
34,0,0,0,0,0,0,0,0,0,0,
35,0,-57,22,33,5,33,-47,-50,21,1,
36,0,0,0,0,0,0,0,0,0,0,
37,0,0,0,0,0,0,0,0,0,0,
38,0,0,0,0,0,0,0,0,0,0,
39,158,146,171,174,160,176,128,127,166,159,
40,0,0,0,0,0,0,0,0,0,0,
41,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,
43,-102,-542,-88,-43,-280,-85,-389,-99,-93,-389,
44,0,0,0,0,0,0,0,0,0,0,
45,0,0,0,0,0,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,0,0,
47,-492,-64,-57,-293,-293,-56,-109,-112,-368,-60,
48,0,0,0,0,0,0,0,0,0,0,
49,0,0,0,0,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,0,
51,-119,-559,-318,-102,-297,-102,-113,-447,-110,-406,
52,0,0,0,0,0,0,0,0,0,0,
53,0,0,0,0,0,0,0,0,0,0,
54,0,0,0,0,0,0,0,0,0,0,
55,-13,-70,-52,-7,-49,10,-60,-63,-10,-60,
56,0,0,0,0,0,0,0,0,0,0,
57,0,0,0,0,0,0,0,0,0,0,
58,0,0,0,0,0,0,0,0,0,0,
59,-119,-559,-318,-102,-297,-102,-113,-447,-110,-406,
