TIME\Elv,elv1,elv2,elv3,elv4,elv5,elv6,elv7,elv8,elv9,elv10,
0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,-117,-557,-316,-100,-100,-100,-404,-445,-108,-404,
8,0,0,0,0,0,0,0,0,0,0,
9,-22,-2,0,-16,1,17,-69,-72,-19,0,
10,0,0,0,0,0,0,0,0,0,0,
11,51,28,53,64,36,70,-16,31,52,32,
12,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,160,148,168,173,152,176,130,129,161,150,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,94,82,85,96,86,110,64,63,95,84,
20,0,0,0,0,0,0,0,0,0,0,
21,-44,-101,-83,-38,-20,-20,-384,-425,-41,-91,
22,0,0,0,0,0,0,0,0,0,0,
23,-24,-102,-84,-21,-39,-11,-92,-95,-23,-92,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,258,246,271,274,260,276,228,227,266,259,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
31,-47,-540,-299,-41,-278,-41,-94,-97,-44,-387,
32,0,0,0,0,0,0,0,0,0,0,
33,81,80,83,84,84,105,13,61,82,82,
34,0,0,0,0,0,0,0,0,0,0,
35,24,1,26,37,27,48,-43,4,36,25,
36,0,0,0,0,0,0,0,0,0,0,
37,0,0,0,0,0,0,0,0,0,0,
38,0,0,0,0,0,0,0,0,0,0,
39,120,108,133,136,122,138,90,89,128,121,
40,0,0,0,0,0,0,0,0,0,0,
41,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,
43,-113,-553,-312,-96,-291,-96,-107,-441,-104,-400,
44,0,0,0,0,0,0,0,0,0,0,
45,0,0,0,0,0,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,0,0,
47,-495,-122,-104,-296,-101,-101,-405,-446,-371,-112,
48,0,0,0,0,0,0,0,0,0,0,
49,0,0,0,0,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,0,
51,0,0,0,0,0,0,0,0,0,0,
52,0,0,0,0,0,0,0,0,0,0,
53,0,0,0,0,0,0,0,0,0,0,
54,0,0,0,0,0,0,0,0,0,0,
55,-3,-60,-42,2,2,20,-50,-384,0,-50,
56,0,0,0,0,0,0,0,0,0,0,
57,0,0,0,0,0,0,0,0,0,0,
58,0,0,0,0,0,0,0,0,0,0,
59,-119,-559,-318,-102,-297,-102,-113,-447,-110,-406,
